"TOA5","1","CR1000X","5122","CR1000X.Std.03.02","CPU:TDG_191227_Enc.CR1X","49734","FWS2"
"TIMESTAMP","RECORD","FWS_Data(1)","FWS_Data(2)","FWS_Data(3)","FWS_Data(4)","FWS_Data(5)","FWS_Data(6)","FWS_Data(7)","FWS_Data(8)","FWS_Data(9)","FWS_Data(10)","FWS_Data(11)","FWS_Data(12)","FWS_Data(13)","FWS_Data(14)","FWS_Data(15)"
"TS","RN","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-09-19 16:03:00",2493,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.4C","Ua=063.5P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:03:20",2494,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.4C","Ua=063.5P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:03:40",2495,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.4C","Ua=063.5P","Pa=000985.9H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:04:00",2496,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.3C","Ua=062.2P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:04:20",2497,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.3C","Ua=062.2P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:04:40",2498,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.3C","Ua=062.2P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:05:00",2499,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.3C","Ua=061.9P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:05:20",2500,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.3C","Ua=061.9P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:05:40",2501,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.3C","Ua=061.9P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:06:00",2502,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.3C","Ua=062.5P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:06:20",2503,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.3C","Ua=062.5P","Pa=000985.8H","T=200919160604","La=29.0148030","N","Lo=105.8498290","E  ",""
"2020-09-19 17:02:00",2504,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.0C","Ua=067.4P","Pa=000985.9H","T=200919170144","La=29.0147890","N","Lo=105.8498230","E  ",""
